name,viaf,wiki,pages
Nodotius Franciscus,,,13
Noël Franciscus,9888919,Q506728,322
Nogaro'ae sorores,,,31
Novak Jan,116710070,Q112387122,"188,233"
Nowowjeski Rudolf,,,244
Oakes Uriah,,,290
"Oberstain, Paulus de",,,97
Ockham William,41835567,Q43936,23
O'Connell Robert,,,172
Odasi Tifo,19831274,Q3856850,60
O'Ferrall Richard,1373152636170119938048,,172
Olahus Nicolaus,9923869,Q497524,"178,214,221,223"
Oldoinus Augustinus,89318352,Q4821254,73
Olesnicki Zbigniew,37308299,Q168150,240
"Oliveira, Clemente de-",99299938,,120
"Oliveira, Timoteo de-",,,125
Olivetus Josephus,,,147
Olivierius Johannes Baptista,,,256
Olizarovius A.A.,,,246
Olmo Michael,,,"112,113"
Opitz Martinus,,Q60946,"29,49,53,181,196,200"
Orfelin Zacharias,3268744,Q2983199,95
Origenes,,Q170472,13
Orlandini Nicolaus,2813152,Q7024607,66
"Orozco, Alfonsus de-",73917247,Q2056008,109
Orphica,,,13
Ortelius Abraham,32104723,Q232916,155
Orzelski Stanislaus,,,251
Osorius Hieronymus,,Q6185660,"119,120"
Ostrorog Johannes,,,240
Othonia Johanna,,,31
Otto Freisingensis,,,23
Oudin Franciscus,61578254,Q30100207,138
Oudin Nicolaus,,,64
Ovidius,,Q7198,"1,13,19,22,100,152,181,197,207,231,243,268,295,298,308,316,320"
Owen Goronwy,,,171
Owen (Audoenus) Johannes,,,"170,265"
Pacificus Maximus,59235606,Q55874870,58
Padberg-Drenkpol Augustus,3847419,Q94944302,309
Paganinus Gaudentius,88607494,Q2046132,210
Pereira Thomas,,Q2735436,324
Palacky Franciscus,61602031,Q159642,233
Palaeologus Johannes,,,85
Palata Franciscus,,,233
Palearius Aonius,,,"61,298"
Palingenius Stellatus Marcellus,39494118,Q261554,61
Palladius Domitius,2601470,Q94909595,74
Palmarius (Le Paulmier) Julianus,14922874,Q3189557,231
Palmotta Junius,,,277
Palmyrenus Johannes Laurentius,121940484,,"108,109,116"
Pannonius: see Janus.,,,
Perez: see Petreius.,,,
Panofsky Erwin,76321051,Q57656,193
Panormitanus: see Beccadellius.,,,
Paoli Ugo Enrico,,,65
Papaeus Petrus,,,"108,151"
Paraeus (Wängler) Johannes Philippus,31987477,Q110381,222
Parkhurst John,,,75
Parmenius Stephanus,15116568,Q850841,"214,285"
Parrales Ignatius,,,300
Parreño Josephus Julianus,25806617,Q4345807,303
Parthenius Antonius,36346776,Q28479498,6
Parthenius (Mazzolari) Johannes M.,,,64
Paruta F.,,,76
Pascal Blaise,,Q1290,134
Pascalis Ludovicus,,Q3839138,93
Pascoli Johannes,,Q375998,"27,46,65,73,156"
Pasquier (Paschasius) Stephanus,61560863,Q290040,137
Passerinus Aloysius,,,18
Pastorius Joachim,,,245
Paulmier: see Palmarius.,,,
Paulus III,,Q133001,"74,296"
Paulus Aegineta,,,209
Paulus Crosnensis,188916297,Q11814534,"239,242"
Pauthier Jean-Pierre,,,324
Pecci: see Leo XIII.,,,
Peckham Johannes,,,24
Pedersen Christianus,37265876,Q219010,263
Pedioneus Rhaetus Johannes,,,207
Peerlkamp Petrus Hofman,,,"155,156,157"
Pekkanen Thomas,32119968,Q773250,279
Pelbartus a Temesvár,,,215
Pélerin (Viator) Jean,,,140
Peletier Jean,,,"46,47"
Pereira Bartholomaeus,68507159,Q94685448,122
Pereira P.,,,43
Perger Bernardus,46898743,Q19935841,"97,100"
Peron Joachim,,,133
Perizonius Jacobus,57415655,Q963519,109
Perottus Nicolaus,39475804,Q326037,"56,85,97,149"
Perpinianus Petrus Joh.,,,"119,122"
Persius,,,13
Petavius Dionysius,51717250,Q1187608,140
Pętkowski Georgius,53142479,Q63120874,244
Petraeus Eskil,,Q6045757,278
Petraeus (Pederssnn) Gabelus,,,268
Petrarca Franciscus,,Q1401,"8,9,14,16,18,19,22,27,29,33,41,44,45,46,54,55,56,78,79,87,107,127,128,129,144,151,154,210,229,264,274,290"
Petreius (Perez) Johannes,15200142,Q6073580,108
Petreius T.,120778020,Q3526478,35
Petri Elias: see Hasselgreen.,,,
"Petri Laurentius, Gothus",,Q935691,
"Petri Theodoricus, Nylandensis",307171231,Q1661043,"23,276"
Petriccioli Giuseppe,,,"30,31"
Petronius Arbiter,95155909,Q47180,"13,267,288,293"
Petrus Blesensis,,Q926670,23
Petrus Cyrnaeus,17211623,Q3377683,69
Petrus de Dacia,,,223
Petrus Trudonensis,,,34
Peutinger Conradus,,Q60958,"181,189"
Phaedrus,,,14
Philaras Leonardus,101179452,Q3557889,84
Philelphus (Filelfo) Franciscus,5000255,Q4622,"36,58,59,118"
Phragmenius Jonas Johannes,255654595,Q111169543,260
Piae Camiones,,,"23,276"
Piccolomini Alessandro,,,108
Piccolomini Enea: see Aeneas Silvius.,,,
Pico della Mirandola Giovanni,,Q182128,"60,64,209"
Pigato Giovanni Battista,60833820,Q3766733,64
Pilarz A.,,,233
Pilatus Leontius,,Q1248865,"9,87"
Pilardius Laurentius,,,138
Pindarus,,Q134929,"14,135,144,243"
Pinto de Carvalho A.,,,123
Pinus (des Pins) Johannes,,,"131,135"
Pirkheimer Bilibaldus,27173507,Q62663,"96,188,189"
Piso Guiielmus,,,309
"Pistorius Nidamus, Johannes",,,252
Pistorius Rutgerus,,Q63863153,"258,259"
Pitcairn Archibald,,,169
Pius II: see Aeneas Silvius.,,,
Pius I,,,311
Pius XII,63987052,Q2604,66
Placcius Vincentius,,Q7932005,285
Plantin Christophorus,,,"106,215"
Platina Bartolomaeus,99950542,Q455140,59
Plato,,Q859,"5,14,60,98,112,124,229"
(Pseudo-)Plato,,,14
Plautus,,Q47160,"14,135,151,153,267"
Plinius Major,,Q82778,313
Plinius (Plón) Basilius,,,"260,261"
Plinius (Plieningen) Johannes,,,182
Plinius (Plieningen) Theodoricus,,,182
Plutarchus,,Q41523,"14,15,17"
Podossinov Alexander,172180911,Q15080872,257
Poggio Bracciolini Nicolaus,,Q318254,"22,45,57,83,97,165,229,274"
"Polignac, Melchior de",89067645,Q1247737,"137,298"
Politianus Angelus,,Q250414,"6,12,17,18,20,45,58,59,107,114,118,129,219"
Polotskij Simon,,,254
Polybius,,,15
Pomponazzi Pietro,27113040,Q318787,60
Pomponius Laetus,,Q523923,"15,56,58,134,181"
Pomponius lela,,,15
Pontanus Jacobus,352137,Q3157628,"186,231"
Pontanus Johannes Jovianus,,Q714946,"47,58,59,60,104,107,129,170,180,230"
Pontanus Petrus,,,"130,153"
Pontoppidan Ericus,,,269
Pontus de Tyard,,,"127,136"
Porcarius (Swinka) Adam,,,242
Porcellius Jacobus,,,"58,69"
Porée Franciscus C.,,,140
Porthan Henricus G.,36908769,Q333651,280
Portius (Porzio) Simon,,Q669191,62
Possevinus Antonius,64050358,Q548115,259
Portellius Gulielmus,,,127
Posthius Johannes,,,"182,199"
Povsic Boleslaus,,,293
Powell Griffith,10196680,Q5608910,171
Praschius Johannes Lud.,32338191,Q1544912,189
"Pratel , A.Fr. de -",,,133
"Presles, Radulfus de",,,128
Preuschhoff Johannes Antonius,127439326,Q97118846,249
Priapea,,,15
Proafio Manuel José,,,301
Proba,,,31
Progher J.M.,,,70
Prokopovitch Theophanes,44386110,Q348899,255
Propertius,,,"15,242"
Proxenus Simon,,,231
Prudentius,,,279
Prygl Tyfernus Augustinus,,,97
Publicius Johannes,,,104
"Pueyo, José de",,,107
Pufendorf Samuel,,,191
Purkircher Georgius,38476934,Q56389211,216
Puteanus Erycius,,,"153,158"
Pylarinus Jacobus,304917391,Q3805924,85
Quadrigarius: see Chartier.,,,
Quatrarius Johannes,34883634,,56
Quevedo Francisco,56604566,Q201315,277
Quillet (Caividius) Claudius,42775199,Q2978018,"137,276"
Quintianus Stoa Johannes Franciscus,,,59
"Quintiis, Camillus Eucherius de",52624961,Q112467240,64
Quintilianus,34451872,Q193769,"15,22,124"
Quintinus Johannes,,,103
Quintus Smyrnaeus,,Q352702,243
Rabelais François,172635016,Q131018,136
Rabensteinius Johannes,,,229
Racine Jean,88809641,Q742,136
Radke Anna,29779066,Q2850488,"31,186"
Rädle Fidel,68948582,Q103499,186
Ragenau Franciscus,,,287
Rakovius Martinus,,,234
Ramirez Villaescusa Didacus,,,105
Ramus Daniel,,,"204,269"
Ramus Petrus,39399236,Q376124,"131,134,142"
Rangona Costanza,,,130
Ransanus Petrus,,,"67,215"
Ranzovius (Rantzau) Henricus,,Q514079,"30,266"
Rapinus Renatus,46961,Q511359,"127,137"
Rasse de Brunhamel,2329263,,127
Rauher Christophorus,,,97
Raumannus Johannes,62460033,Q5412700,278
Ravn Η.M.,,,273
Ray John,,,166
Regel Ed.,,,192
Reginus Laurentius,,,93
Regius: see Leroy,,,
Regnard Jean-François,,,283
Reicherstorffer Georgius,67283846,Q112433937,223
Reizius Fridericus V.,5682528,Q1425636,270
Relandus Hadrianus,56913917,Q247320,"152,154"
Remaclus Arduenna,18036550,Q114245278,"134,135,152,168"
Rembrandt van Rijn,,,155
Resendius Andreas,120700950,Q268083,"118,119,121,126"
Resenius P.,,,273
Resta Barrile Anna,,,31
Restius Junius,,,95
Restrepo Daniel,24149099,,300
Rettenpacher Simon,,Q94490,"183,186"
Reuchlin (Capnion) Johannes,,Q61067,"139,179,186,188,191,"
Reuss Franciscus Xaverius,89357531,Q97063681,177
Reynolds J.N.,,,290
Rhaudensis (de Rho) Antonius,65524219,Q3620366,10
Rhedinger Nicolaus,,,182
Rhellicanus (Müller) Johannes,,Q29345298,206
Rhodius Theodorus,89399917,Q18223654,187
Rhys Sion David,5027789,Q18325032,171
Ribera Juan,,,115
Ricci Matthaeus,69722279,Q233340,322
Richelieu,,,"137,285"
Rickett Johannes,,,167
Rieger Urbanus,,,195
Rigord Aloysius,,,102
Rinucius Aretinus,,,"4,14"
Rivius Johannes,,,259
Robeck J.,,,279
"Rochefoucauld, François de la -",,,245
Rodriguez Josephus,,,302
Rodriguez Josephus Ignatius,,,302
Rodriguez de Mello Josephus,70075417,Q109857225,308
Roenickius Johannes Tobias,3407115,Q55126129,184
Rogge Cort,,,274
Rolevinck Werner,,,42
Rolland Romain,,,127
Romanus (Van Roomen) Adrianus,,,"155,158"
Romanyà Jacobus,,,108
Rιmer Olaus,,,268
"Ronsard, Pierre de",,,"142,152"
Rontus Matthaeus,316463691,Q110933850,86
Roselli Cecconi Mario,254362044,Q20968489,"69,70"
Rosenkrantz Jorgen,,,265
Roskilde P.J.,7736149296171180670004,Q6080371,273
Ross John,,,174
Rostowski Stanislaus,12709645,Q6535727,245
Roth Fridericus,,,193
Rothe David,,,"171,173"
Rotius Carolus,4191161211775039832064,,"65,66,74,122"
Rougeart Jucquel,,,143
Rousseau Jean-Jacques,,,218
"Royzius Maurus, Petrus",36908544,Q94936170,"105,240"
Ruaeus Carolus,39400585,Q1238942,140
Rubigallus Paulus,,,234
Rudbeckius Olaus,17261560,Q350198,277
Ruggles Georgius,67531261,Q18810739,"166,167"
Ruuth: see Petri Theodoricus.,,,
Rychlewska Ludovica,60414331,Q28653954,247
"Saa , Jacobus a",,,120
"Sabellicus, Marcus Antonius",12414496,Q708493,268
Sabinus Georgius,771155,Q69731,"182,199,241,242"
Sachs Hans,,Q19543,186
Sadoletus Jacobus,76326881,Q682478,59
Sadolinus Johannes,40213036,Q6087927,265
Sagan Françoise,96464325,Q1646,218
Sallustius,,Q782401,"16,149"
Salutatus Coluccius,61554735,Q93113,"56,127,136"
"Salviatis, Georgius Benignus de",89093600,Q261218,91
Sambucus (Zsamboky) Johannes,,Q931436,"61,215,216,217,221"
Sammarthanus (de Sainte-Marthe) Carolus,,,132
Sammarthanus Scaevola,68983581,Q2471259,137
Sanchez Franciscus,,,"109,111"
Sanchez Vallejo Franciscus,,,29
Sanctius: see Sanchez.,,,
Sanctius Petreius,,,119
"Sande, Eduardus de",,Q6822593,319
Sanderus Antonius,,Q2131492,
Sangiovanni Eduardus,,,292
Sannazarius Jacobus,87990970,Q510621,"45,58,94,165,207,298"
Sanoceus Gregorius,304577101,Q530956,240
Santenius Laurentius,,,"152,154"
Santerna Petrus,,,121
Santolius (Santeul) Claudius,,,137
Santolius Johannes Baptista,20008,Q1243332,137
Sapidus (Witz) Johannes,,,187
Sappho,,Q17892,"16,102,212"
Sarbievius Matthias C.,36947664,Q471723,"61,63,239,242,243,249"
Sarmiento Raymundus,,,303
Sarneel Petrus,,,309
Satyricon Asini vapulantis,,,189
Sautel P.J.,,,137
Savastanus Franciscus,54885523,Q4403688,64
Savelli Giuseppe Antonio,,,69
Saxo grammaticus,,Q106837,263
Scalichius Paulus,71735566,Q1396063,94
Scaliger Julius Caesar,,Q441066,"28,32,61,130,135,138,143,186"
Scaliger Justus Josephus,29540435,Q315163,"61,86,149,158,159"
Seldenus J.,,,311
Selijns Henricus,,Q55861790,291
Semperius Andreas,15615495,Q11905534,109
Seneca rhetor,,Q273671,"15,16"
Seneca tragicus et philosophus,90637919,Q2054,"6,16,54,55,153,312"
Senghor Louis,,,312
Sepulveda Johannes Genesius,39405614,Q940132,"110,111,116,284,301"
Sergardi (Q.Sectanus) Ludovicus,32025502,Q3836387,"63,64"
Seron Antonius,,,106
Serra Johannes,76350809,Q112434757,147
Serrano Thomas,188699387,Q16640872,107
Serranus Lupus,,,119
Servetus Michael,,,106
Scebernas Franciscus,,,102
Servius,,Q355350,17
Schacht Matthias,,,266
Schall von Bell Johannes Adamus,64800026,Q76732,322
Sforza Francesco,,Q310536,30
Schrader Johannes,,Q21544155,28
Sforza Ippolita,,Q2469233,31
Shakespeare W.,,,"59,246"
Shelley P.B.,,,167
Sidney Phillip,71397821,Q315509,174
Siemienowicz Carolus,,,247
Sigea Luisa,,Q3072158,"31,105,132"
Sigonius Carolus,,,62
"Sigüenza y Gongora, Carlos de",,,297
Silius Italicus,27071645,Q316123,17
"Silva, L.W. de",,,316
"Silveira, Christoväo da",,,123
Silvester Janus,,,"170,217,221"
Simler Josias,,,"209,211"
Simon Ed.-Th.,,,138
Simonides Simon,,,"243,244"
Simons Josephus,69799707,Q3810270,167
Sinapius Daniel,,,234
Sisgoreus Georgius,,Q1401220,"93,97"
Sixtus IV,37712552,Q163514,"74,75"
Schuurman Anna Maria,54190263,Q255261,31
Schwandtner J.G.,251145858169223022522,,"222,235"
Schwindrazheim Johannes Ulrich,,,185
Scioppius Gaspar,,Q87581,109
Scott John,,,169
Scotus: see Johannes Duns Scotus.,,,
Scribani Carolus,17247790,Q39072817,154
Sectanus: see Sergardi,,,
Secundinus (Sagondino) Nicolaus,,,85
Secundus: see Janus,,,
Seidel Wolfgang,,,195
Skelton John,29549101,Q638589,165
Skulason Thorlakur,,Q16421554,269
Slechta Johannes,,,"228,229"
Sleidanus Johannes,,,"190,203"
Smerdel Ton,22056639,Q12898765,95
Snellman Johannes Gulielmus,,,283
Soarez Cyprianus,12419980,Q5200392,"119,187"
Sobieski Jacobus,62348065,Q2673314,245
Sobrarius Johannes,,,109
Solinus,,,17
Schaton Vladimir,,,247
Schede: see Melissus.,,,
Schefferus Johannes,,,276
Scheit J.V.,,,139
Schesaeus Christianus,,Q861327,"215,223,227"
Schifaldus Thomas,88797573,Q88178810,67
Schiller Friedrich,96994450,Q22670,"203,208,233"
Schmitz J.Jos.,40285116,,192
Schnur (C.Arrius Nurus) Harry,64809686,Q84403,292-3
Schoepperus Jacobus,122284849,Q55193565,187
Scholirius Petrus,309696253,Q27537242,154
Scholzius Laurentius,,,182
Schonaeus Cornelius,,Q2707820,"151,154,278"
Schoneus Andreas,5749370,Q55945782,242
Schopenhauer Arthur,,Q38193,191
Schottenius Henricus,,,"30,188"
Schottus Petrus,76748134,Q1518911,228
Sixtus V,7525513,Q133350,319
"Solorzano Pereira, Johannes de",66550594,Q3187841,301
Sommer Johannes,15027478,Q1101204,"223,225,227"
Sovret Anton,,,98
Sozomenus,305409681,Q354350,312
Sozzini Faustus,41890089,Q505037,246
Specht Nicolaus,,,260
Spenser Edmund,100170015,Q4352055,"166,176"
Sperlingius Otto,59989592,Q21165032,266
Spinoza Baruch,,Q35802,"122,155,268"
Sprenger Jacobus,,,191
`Spungjanskis Georgius,,,261
Stanihurst Richardus,67392027,Q7329217,"171,173"
Starovolscius Simon,,,245
Statius Achilles,96355057,,"17,121"
Statius Papinius,,,269
Stay Bernardus,,,"94,99"
Stefansson Sigurdur,,,269
Stefonius Bernardinus,,,"63,75"
Stella Julius Caesar,,,285
Stemmonius Malmedianus Johannes,,,"130,145"
Steno Nicolaus,,,268
Stephanius H.,76608069,Q440702,273
Stephanius Stephanus,,,263
Stephanus (Estienne) Henricus,,Q664748,"134,141"
Sterck: see Fortis.,,,
Stern Julius,,,186
Sterne Lawrence,,Q218960,172
Stettler Hieronymus,,,209
Stevenson Robert,,,218
Stiernhielm Georgius,4954796,Q514315,277
Stieröchsel: see Taurinus.,,,
Stigelius Johannes,15204756,Q1539176,"181,182,199"
Stobaeus,164895588,Q444079,17
Stojkovic: see Stay.,,,
Strabo,,Q45936,17
Straccha B.,,,121
Strada Famianus,,Q2531858,"63,122"
Stradling Johannes,44651439,Q7528101,170
Stratenus Petrus,,,"152,154"
Streda: see Johannes Noviforensis,,,
Stroh Wilfried,278969888,Q103534,"188,312"
Strozza Hercules,120786217,Q2258340,58
Strozza Titus Vesp.,,,"58,118"
Strub Arbogast,5726547,Q94893182,"206,207"
Struthius Josephus,,Q1715111,247
Stuckius Johannes Gulielmus,79252936,Q17414317,209
Sturmius Johannes,19692723,Q66382,"195,196"
Sturtzius Christophorus,8441114,Q55904820,"259,260"
Stymmelius Christ.,,,188
Suarez Franciscus,,,"106,112"
Suetonius,,,"15,17"
Suffridi Petrus,,,159
Suisethus (Swineshead) Richard,,,23
Sulpicia,,,31
Sulpicius Verulanus Johannes A.,,,"15,56"
Surigonus Stephanus,56481009,,"33,83,149,165"
Surius Johannes,,,140
Surius Nicolaus,,,154
Svabo Jons Christian,,,270
Svenonius (Sveinsson) Brynjulfus,,,269
Swedenborg Emmanuel,,,"278,279"
Swift Jonathan,14777110,Q41166,"172,267"
Swinka: see Porcarius.,,,
Swoboda Venceslaus Aloysius,52048247,Q11985378,233
Tacitus,100226923,Q2161,"6,17,18,153,189,221"
Tana Eiichiro,,,320
Tardif Gulielmus,,,131
Tasso Torquato,4936996,Q168962,"19,29,45,73,107,275"
Tate Robert,44206763,Q21557439,173
Tatius Alpinus Marcus,,Q120942,213
Taubmannus Fridericus,13080012,Q1462474,"183,260"
Taurinus (Stieröchsel) Stephanus,44652109,Q727133,229-30
Teixeira Lud. (I et II),,,"118,125"
Telesius Bernardinus,49220528,Q457986,62
Terentius,,Q172048,"18,136,151,278,311,312"
Terpager P.,,Q6206243,273
Tevius (Teile) Jacobus,,,"119,120"
Thalnitscher (Dolnicar) J.G.,,,98
Theognis,,Q336115,18
Theophrastus,,,"18,85"
Theresa de Avila,95217173,Q174880,116
Thomaeus Leonicenus Nicolaus,22293638,Q711573,"88,89"
Thomas Aquinas,,,"69,122"
Thomasius Chr.,61657051,Q57501,311
Thompson William,,,173
Thomson Douglas,,,287
Thorkelsson Jon,,Q16429713,270
Thuanus (de Thou) Jacobus,,Q1312086,"131,139"
Thucydides,,Q41683,325
Thura Albertus,17573615,Q12300883,"264,266"
Thuronius Andreas,,Q11851351,278
Tibullus,100219266,Q109598,103
Timaeus Tauromenitanus,291870274,Q367298,18
Timmermann Ulf,7675155,,270
Tiraboschi Girolamo,,Q978614,66
Toppeltinus Laurentius,,Q112432892,225
Torfaeus Thormod,,Q335614,"268,270"
Torinus Albanus,17335205,Q119003,209
Tortellius Johannes,,,"56,118"
Tragus: see Boccius,,,
Trautwein Gregorius,5879568,Q110137193,291
Travers Janus,,,213
Traversarius Ambrosius,29617842,Q458842,"7,67"
Tricesius Andreas,,Q515725,242
Trithemius Johannes,95227412,Q60178,"179,189"
Tronskij Joseph M.,,,257
Tronus Valerius: see Cicuta.,,,
Tuccius Stephanus,,Q59533652,63
Tulp Nicolaus,54933735,Q630646,155
Turgenev Ivan,41847346,Q42831,256
Turnebus Adrianus,,Q376210,"134,135"
Turzo Stanislaus,35631755,Q344032,228
Tusiani Joseph,105413311,Q3810279,292-3
Tyrrell R.Y.,,,173
Ugolinus Pisanus,,,104
"Ulenbrock, Henricus ab",,,260
Ulicovius Georgius,,,246
Ulpianus,,,18
Ulvichius Johannes,,Q28720651,275
Urbanus VIII (Maffeo Barberini),,Q131579,"46,63,74,172,243"
Urceus Codrus,66577430,Q217547,"23,58,210"
Urquiola Josephus Antonius,,,113
Vadianus Joachim,29572382,Q116098,"97,206,211,213"
"Vaissiére, Emmanuel de",89521777,,"138,139"
Varchius Johannes Georgius,,,48
"Valdes, Rodrigo de",38807877,,"117,307"
Valerius Maximus,,Q379991,18
Valéry Paul,61553403,Q200639,19
Valerius ( de Valois ) Hadrianus,,,137
Valignanus Alexander,76359221,Q2091318,319
Valla Laurentius,,Q214115,"7,15,22,27,45,46,56,58,110,118,128,210"
"Vallata, Johannes de",,Q76325,104
Vallauri Thomas,25489276,Q2440877,102
Van Hese Jan,,Q112709935,163
Vanierius Jacobus,,,"136,137"
Vannetti Clementino,,,66
Varanius Valerandus,95330072,Q18398264,137
Varchius Benedictus,46868282,Q176833,45
Varenius Bernardus,,,"192,320"
Varro Reatinus,,,18
Vasaeus Johannes,,,311
Vasalli Michael Antonius,,,"102,103"
Vascus de Quiroga Johannes,,,298
Vassallo Pasquale,,,101
Vaughan Henry,,,171
Vaughan Thomas,,,"170,171"
Vaughan William,,,170
Vavasseur Franciscus,34201,Q15458991,143
Vazquez Dionysius,3643251,Q55911718,109
Vegetius,,,19
Vegius Maffeus,17232779,Q1372875,"4,19"
"Velasco, Johannes de",,,296-7
Venegas Michael,,,108
Verancius (Wrancius ) Faustus,,,94
Verardus Marcellus,,,59
Verbiest Ferdinandus,,,322-3
Verelius Olaus,63994554,Q445867,277
Vergerius Petrus Paulus,,Q737756,"96,215"
Vergilius,8194433,Q1398,"1,19,32,59,103,130,137,138,153,168,181,189,197,230,237,249,264,285,289,291,295,297,298,300,308,316,320"
Vergilius Polydorus,,Q741149,"21,165"
Verinus Ugolinus,49402513,Q741841,58
Vernulaeus Nicolaus,,,151
Verzosa Johannes,9980692,Q511261,106
Vesalius Andreas,51696979,Q170267,155
Vespucci Amerigo,,Q47674,"190,284,325"
Viator: see Pélerin.,,,
"Viau, Théophile de",,,131
Vico Gianbattista,,Q178709,"51,62"
"Victoria, Franciscus de",265993805,Q312384,"111,285"
Vida Marcus Hier.,100162370,Q1340193,"59,94,130,138,207,298"
Vidalinus Páll,,Q3962835,272
"Vidalinus Paulus, Bernardi f.",,,270
Viel Stephanus,29095710,Q94636990,291
Vigilantius: see Gregorius Samboritanus.,,,
Villon François,,Q849,128
Viñas Thomas,51396217,Q27727983,"113,115"
Viperanus Johannes Antonius,100214318,Q3107012,"62,186"
Viruli Carolus,29887308,Q5045295,149
Viscido Laurentius,70381660,Q113778850,292
Visliciensis Johannes,54135810,Q3505401,"242,244"
Vitalis Janus,89522903,Q5926148,"67,285"
Vitéz Johannes,305405868,Q549965,"214,215"
Vitriolus Didacus,,,"65,102"
Vitruvius,,Q47163,19
Vives Johannes Ludovicus,71399403,Q316357,"31,32,39,104,105,106,109,110,111,112,113,115,133,135,158,165,172,210,296"
Voetius P.,70032819,Q2064260,311
Volta Alessandro,9950567,Q680,66
Voltaire Fr.-M.,,,"140,217,291"
"Vondel, Joost van den",61555829,Q312673,151
Vossius Gerardus Batavus,7415128,Q785925,"145,155,159"
Vriemoet E.L.,25699206,Q1339028,159
Vroom H.B.,39755555,Q20156073,156
Vuillemain: see Guillemain.,,,
Vulcanius Bonaventura,77391,Q892143,"149,159"
White Andreas,25806526,Q508699,289
White Peter,,,171
Widl Adamus,1081400,Q55903822,183
Wierus Johannes,,Q719711,155
Wiesmann Peter,,Q12901471,208
Willi Pirminus,,,208
Williams Francis,,,295
Wills Richard,,,166
Wilson Samuel,,,292
Wimpfelingius Jacobus,19699237,Q71848,"186,189,195"
Winmannus Nicolaus,,,210
Winsemius Petrus,,,269
Witz: see Sapidus.,,,
Wivallius Lars,,Q246991,277
Wolff Christian,,Q76510,"191,217,323-4"
Wolff Friedrich August,45080401,Q65337,185
Wormius Olaus,,,267
Wrancius: see Verancius.,,,
Vulgata,,,"19,131"
Xenophon Atheniensis,,,19
Wacker J.,,,182
Wadding Lucas,,Q1771793,"171,172"
Wingler: see Paraeus.,,,
Waldseemüller Martinus,27366067,Q57197,"190,284"
Wallin Georgius,,,277
Wallius Jacobus,,,154
Walther Chr. Fr.,,,256
Waltherus Castillionensis (of Châtillon),100212859,Q5198,"22,23"
Ware James,,,173
Weller Hermann,44609393,Q71597,185
Welserus Matthias,,,190
Wendelinus Godefridus,37002606,Q735426,155
Wendrockius: see Nicole Pierre.,,,
Westhovius Willichius,24892912,Q109854362,265
Westman Rolf,,Q16991401,279
Westonia Elisabeth,18052286,Q2563872,"31,230"
Wexionius Michael,7766791,Q1389332,278
Yepez Arboleda Franciscus,,,301
Zamagna Bernardinus,52500839,Q3638810,"94,99"
Zambeccarius Franciscus,305991296,,"10,11"
Zambettus Bartholomaeus,66520793,Q112393125,104
Zammit Josephus,,,102
Zanchius Basilius,,Q2886881,"61,105"
Zasius Udalricus,,,191
Zevecotius Jacobus,45392802,Q55127454,"61,154"
Ziliolus Zilioli,30075449,,59
Zincgref Julius,61572643,Q91923,198
Zorrilla Alfonsus,,,109
Zovenzonius Raphael,3542658,Q98478165,"96,97"
Zovitius Jacobus,296546670,Q15876822,151
Zsamboky: see Sambucus.,,,
Zwinger Theodor,3266789,Q116094,207
Zwingli Ulrich,71399367,Q123034,210
